symbol,price
USDTIDRT,14320.00
BUSDIDRT,14389.00
CTSIBTC,0.00001766
CTSIUSDT,0.64959000
CTSIBNB,0.00182800
CTSIBUSD,0.65146000
HIVEBNB,0.00429000
HIVEBTC,0.00001061
HIVEUSDT,0.38910000
CHRBNB,0.00055080
CHRBTC,0.00000533
CHRUSDT,0.19602000
BTCUPUSDT,55.89800000
BTCDOWNUSDT,0.05726000
GXSUSDT,0.72810000
ARDRUSDT,0.20792000
ERDBUSD,0.01966100
LENDUSDT,0.51431000
HBARBUSD,0.20933000
MATICBUSD,1.35794000
WRXBUSD,1.82570000
ZILBUSD,0.10906000
MDTBNB,0.00073720
MDTBTC,0.00000103
MDTUSDT,0.03760000
STMXBNB,0.00007530
STMXBTC,0.00000073
STMXETH,0.00001080
STMXUSDT,0.02670900
KNCBUSD,1.84300000
KNCUSDT,1.84200000
REPBUSD,13.67300000
REPUSDT,22.01100000
LRCBUSD,0.31274000
LRCUSDT,0.31339000
IQBNB,0.00004137
IQBUSD,0.01474800
PNTBTC,0.00003216
PNTUSDT,1.18120000
BTCGBP,26000.59000000
ETHGBP,1744.59000000
XRPGBP,0.61339000
BNBGBP,251.49000000
GBPBUSD,1.41630000
DGBBNB,0.00017120
DGBBTC,0.00000166
DGBBUSD,0.06132000
BTCUAH,1010909.00000000
USDTUAH,27.41400000
COMPBTC,0.00887700
COMPBNB,5.71900000
COMPBUSD,326.84000000
COMPUSDT,326.83000000
BTCBIDR,527336362.00
ETHBIDR,35416790.00
BNBBIDR,5106816.00
BUSDBIDR,14335.00
USDTBIDR,14344.00
BKRWUSDT,0.00084530
BKRWBUSD,0.00084550
SCUSDT,0.01646400
ZENUSDT,85.86000000
SXPBTC,0.00005066
SXPBNB,0.00524000
SXPBUSD,1.86570000
SNXBTC,0.00024420
SNXBNB,0.02527000
SNXBUSD,8.99400000
SNXUSDT,8.98000000
ETHUPUSDT,51.16900000
ETHDOWNUSDT,0.00007300
ADAUPUSDT,97.03600000
ADADOWNUSDT,0.03890000
LINKUPUSDT,2.89300000
LINKDOWNUSDT,0.26250000
VTHOBNB,0.00002284
VTHOBUSD,0.00071800
VTHOUSDT,0.00815400
DCRBUSD,16.03500000
DGBUSDT,0.06131000
GBPUSDT,1.41570000
STORJBUSD,0.36200000
SXPUSDT,1.86600000
IRISBNB,0.00166200
IRISBTC,0.00000218
IRISBUSD,0.06080000
MKRBNB,8.62700000
MKRBTC,0.08372700
MKRUSDT,3079.22000000
MKRBUSD,3083.50000000
DAIBNB,0.04876000
DAIBTC,0.00008966
DAIUSDT,1.01890000
DAIBUSD,1.01810000
RUNEBNB,0.02404000
RUNEBTC,0.00023237
RUNEBUSD,8.55100000
MANABUSD,0.69290000
DOGEBUSD,0.32555000
LENDBUSD,0.51530000
ZRXBUSD,0.92340000
DCRUSDT,140.37000000
STORJUSDT,0.98040000
XRPBKRW,319.76000000
ADABKRW,327.55000000
BTCAUD,47557.84000000
ETHAUD,3193.19000000
AUDBUSD,0.77410000
FIOBNB,0.00066300
FIOBTC,0.00000641
FIOBUSD,0.23590000
BNBUPUSDT,336.88400000
BNBDOWNUSDT,2.32800000
XTZUPUSDT,0.06100000
XTZDOWNUSDT,0.00203000
AVABNB,0.00756000
AVABTC,0.00007330
AVABUSD,2.69650000
USDTBKRW,1125.00000000
BUSDBKRW,1097.18000000
IOTABUSD,1.15590000
MANAUSDT,0.69160000
XRPAUD,1.12470000
BNBAUD,459.78000000
AUDUSDT,0.77373000
BALBNB,0.42580000
BALBTC,0.00066550
BALBUSD,24.56200000
YFIBNB,106.23000000
YFIBTC,1.02752000
YFIBUSD,37894.68000000
YFIUSDT,37877.19000000
BLZBUSD,0.07104000
KMDBUSD,0.46760000
BALUSDT,24.54500000
BLZUSDT,0.19174000
IRISUSDT,0.08026000
KMDUSDT,1.43340000
BTCDAI,36793.91000000
ETHDAI,2467.92000000
BNBDAI,356.08000000
USDTDAI,0.99880000
BUSDDAI,0.99880000
JSTBNB,0.00018840
JSTBTC,0.00000182
JSTBUSD,0.06698000
JSTUSDT,0.06709000
SRMBNB,0.01183100
SRMBTC,0.00011424
SRMBUSD,4.20530000
SRMUSDT,4.21600000
ANTBNB,0.01206000
ANTBTC,0.00011660
ANTBUSD,4.29950000
ANTUSDT,4.29080000
CRVBNB,0.00642200
CRVBTC,0.00006217
CRVBUSD,2.29000000
CRVUSDT,2.28900000
SANDBNB,0.00081390
SANDBTC,0.00000789
SANDUSDT,0.29079000
SANDBUSD,0.29044000
OCEANBNB,0.00158400
OCEANBTC,0.00001532
OCEANBUSD,0.56480000
OCEANUSDT,0.56410000
NMRBNB,0.11550000
NMRBTC,0.00112200
NMRBUSD,41.29900000
NMRUSDT,41.18600000
DOTBNB,0.06463000
DOTBTC,0.00062485
DOTBUSD,23.01000000
DOTUSDT,23.00000000
LUNABNB,0.01741000
LUNABTC,0.00016880
LUNABUSD,6.21200000
LUNAUSDT,6.20700000
IDEXBTC,0.00000165
IDEXBUSD,0.06113000
RSRBNB,0.00008780
RSRBTC,0.00000085
RSRBUSD,0.03126000
RSRUSDT,0.03122000
PAXGBNB,5.34900000
PAXGBTC,0.05182000
PAXGBUSD,1890.00000000
PAXGUSDT,1906.63000000
WNXMBNB,0.18169000
WNXMBTC,0.00176500
WNXMBUSD,22.16500000
WNXMUSDT,65.03000000
TRBBNB,0.51700000
TRBBTC,0.00134400
TRBBUSD,49.47100000
TRBUSDT,49.49900000
ETHNGN,805670.00000000
DOTBIDR,329126.00
LINKAUD,29.84900000
SXPAUD,2.40300000
BZRXBNB,0.00514000
BZRXBTC,0.00000757
BZRXBUSD,0.27800000
BZRXUSDT,0.27830000
WBTCBTC,1.00095000
WBTCETH,14.91600000
SUSHIBNB,0.02649000
SUSHIBTC,0.00025620
SUSHIBUSD,9.43100000
SUSHIUSDT,9.42900000
YFIIBNB,4.65900000
YFIIBTC,0.04516000
YFIIBUSD,1661.44000000
YFIIUSDT,1661.81000000
KSMBNB,1.36130000
KSMBTC,0.01320000
KSMBUSD,486.34000000
KSMUSDT,486.38000000
EGLDBNB,0.24620000
EGLDBTC,0.00238500
EGLDBUSD,87.70000000
EGLDUSDT,87.68000000
DIABNB,0.00452200
DIABTC,0.00004380
DIABUSD,1.61900000
DIAUSDT,1.60900000
RUNEUSDT,8.54700000
FIOUSDT,0.23680000
UMABTC,0.00032700
UMAUSDT,12.03600000
EOSUPUSDT,1.64100000
EOSDOWNUSDT,0.00108000
TRXUPUSDT,0.39600000
TRXDOWNUSDT,0.00100700
XRPUPUSDT,4.44300000
XRPDOWNUSDT,0.01672000
DOTUPUSDT,12.50600000
DOTDOWNUSDT,0.00730000
SRMBIDR,26748.00
ONEBIDR,119.92
LINKTRY,195.80000000
USDTNGN,903.50000000
BELBNB,0.00464000
BELBTC,0.00004488
BELBUSD,1.65370000
